
Algorithm Hash                                                             Path
SHA256    4864B929FB1AF51328EE6F67286BD068B62C85C53867C4CF1263C97A2B77B0DE D:\princeton\Research\Lean\Lean_luce\Luce\Section3Quantile.lean
SHA256    A8F8A1F30D59A7BC1E04CAC62693D57EBF35EE335AEF40F7D5A5B762B463B185 D:\princeton\Research\Lean\Lean_luce\Luce\Section3Race.lean
SHA256    3AC2FEEA8A3E2A06D0BFE78DF6363FADAB02718ABE5FF25FCD61CE641B7BF43B D:\princeton\Research\Lean\Lean_luce\Luce\Section3RaceDrawLaw.lean
SHA256    B3B55A74E0550774580F4CB496EE642590C2E82276122937E2C2B8D0AB44ED91 D:\princeton\Research\Lean\Lean_luce\Luce\Section3RaceLaw.lean
SHA256    7C895FE2BC45C28177A3A40D9CED70845ADBA7A35C9F5CB2AEA15BED12AB52B8 D:\princeton\Research\Lean\Lean_luce\Luce\Section5.lean
SHA256    39920CD0BBA2459572C11F78402BE9CB8B85C032B7E5148B451969DD1418C9CE D:\princeton\Research\Lean\Lean_luce\Luce\Section5BulkCylinder.lean
SHA256    D9C8B7320FBC7882C4457CB2759632D62C097F3EB571CBD63EA0E119A5575527 D:\princeton\Research\Lean\Lean_luce\Luce\Section5CycleProbability.lean
SHA256    19DA60005A511338521A5E088871BA9A3B50B2323792D7CB64A5D847D9429F7B D:\princeton\Research\Lean\Lean_luce\Luce\Section5Cycles.lean
SHA256    5CE37FC31EABDBB3832B7A5102AF3DE7E4092EBB87087DBBCACEFFD9643D1CA1 D:\princeton\Research\Lean\Lean_luce\Luce\Section5DeletedRace.lean
SHA256    9CF0CF6354218BCFEA6D0CA01E66616D628B89C1F520260022090D44988B8193 D:\princeton\Research\Lean\Lean_luce\Luce\Section5ExceptionalHigh.lean
SHA256    C35B39842400693F11C148D258F12C7277B2FC5ADB16B5A7D1AFF6EA52F99CFE D:\princeton\Research\Lean\Lean_luce\Luce\Section5FiniteInsertion.lean
SHA256    C5CC047E60BC5754959AFEC70D919741C0A23327CDCFBA8384F8C16914C6EF33 D:\princeton\Research\Lean\Lean_luce\Luce\Section5GhostCylinder.lean
SHA256    405076031532468C540B1B774C6D9DBA04CBC7E438476DF41CCCD2FF439CD11A D:\princeton\Research\Lean\Lean_luce\Luce\Section5HighRates.lean
SHA256    582DC7979F8DC9607C401181088772888B872CE23FFD4211DD903E4BECB3A6B1 D:\princeton\Research\Lean\Lean_luce\Luce\Section5Insertion.lean
SHA256    44C7B7504B1F63A351F3D059F1C4641E5F12BD6C4C588810D3F7BCA3B36973CA D:\princeton\Research\Lean\Lean_luce\Luce\Section5LowRates.lean
SHA256    D38B0A24F6847173C6DE693B0D2C65934DA5639918A877C6334AD406BD10F080 D:\princeton\Research\Lean\Lean_luce\Luce\Section5Predecessor.lean
SHA256    1E0ACE0683FE951A4F91887E34487A59D96E7A4B9A96B7936E2CB621E90DE098 D:\princeton\Research\Lean\Lean_luce\Luce\Section5Resampling.lean
SHA256    A0A4957D8FF6C266C24F0B1B95CCEE3ECF07DF94E31AFCECC07FE9C2BFF730FF D:\princeton\Research\Lean\Lean_luce\Luce\Section5Reservoir.lean
SHA256    EBF74002D21346196C8567AE06302B9B32949777BDA0F164B9FE474A81BE2F33 D:\princeton\Research\Lean\Lean_luce\Luce\Section5VertexCount.lean
SHA256    F1BFC749F11B0180B69C182230CEAA6A7189CEDFDF139DCB2B70FE7F6A73C652 D:\princeton\Research\Lean\Lean_luce\Luce\Section5WindowProbability.lean


