AXIOMS Luce.abs_cyclicGridKernel_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cycleVectorPoissonLaw_real_singleton: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cycleVectorTotalVariation_eq_countable: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cycle_intensity_nonneg: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cycle_period_has_rankCylinder: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cycle_period_probability_le_sum_cylinders: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cycle_period_real_probability_le_sum_cylinders: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cycle_point_indicator_cutoff_error: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cycle_point_indicator_integral: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cycle_trace_nonneg_ae: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cycle_vertex_probability_le_ghost: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclicCellStep_eq_of_mem: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclicDeterministicSum_eq_kernelGridSum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclicLimitKernel_density_eq: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclicProfileCell_real_measure: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclicProfileCell_unique: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclicProfileIntegral_eq_volume: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclicProfileIntegral_of_nonpos: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclicProfileMeasure_eq_closed_cube: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclicProfileMeasure_injective_ae: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclicProfileMeasure_restrict_bulk: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclicProfileMeasure_restrict_closed_bulk: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclicRaceSum_eq_function_sum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclicRaceSum_of_nonpos: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclic_ae_coordinates: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclic_array_truncation_error: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclic_cube_aecover: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclic_cube_aecover_left: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclic_integral_reindex: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deep_roots_le_retained_add_excluded: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedBeforeCount_eq_of_eq_off: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedBeforeCount_mono: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedClockLabel_injective: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedEmpiricalArrival_eq_count: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedEmpiricalArrival_error: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedEmpiricalArrival_gapLower: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedEmpiricalArrival_gapUpper: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedEmpiricalArrival_monotone: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedEmpiricalArrival_nonneg: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedEmpiricalRemainingGe_error: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedEmpiricalRemaining_gapLower: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedEmpiricalRemaining_lower_of_reservoir: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedGapKernel_eq_interval_measure: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedGapKernel_eq_normalizedGapMass: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedGapKernel_le_one: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedGapKernel_marked_product: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedGapKernel_toReal_eq_exponentialGapMass: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedGapProduct_integrable: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedPrefixLabels_card_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deleted_remaining_weak_strict_error: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletion_subset: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.denominator_lower_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.denominator_replacement_converges: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deterministic_survival_fluctuation_converges: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.disjointCountTest_nonneg: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.distinct_approximatePermutationPath_count_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.drawHistory_eq_comap_prefixVector: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.drawHistory_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.drawPermutation_eq_iff_strictMono: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.draw_arrivalTime_le_iff: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.earlyBulkCylinderConstant_ge: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.earlyBulkCylinderConstant_one_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.earlyCycleShellCost_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.earlyCycleShellTail_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.earlyCycleShellTail_limit: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.earlyCycleShellTail_small: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.earlyGhostEntry_eq_zero_off_event: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.earlyGhostEntry_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.earlyGhostKernel_ae_eq_count: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.earlyGhostKernel_le_ghostEntry: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.earlyGhostKernel_nonneg: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.early_deep_expectation_le_shell_sum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.early_finite_shell_sum_le_tail: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.early_ghost_return_expectation: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.early_ghost_return_le_event_indicator: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.early_ghost_shell_probability: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.early_ghost_window_implies_survivor_event: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.early_shell_return_expectation: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.empiricalArrival_monotone: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.empiricalArrival_orderTime: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.empiricalArrival_sub_deleted: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.empiricalRemainingGe_ae_eq: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.empiricalRemainingGe_antitone: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.empiricalRemainingGe_sub_deleted: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.empiricalRemaining_antitone: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.endpointAssumption_epsilon_estimate: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.endpointAssumption_epsilon_estimate_bounded: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.endpointQ_antitone: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.endpointQ_le_two_exp: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.endpointQ_pos: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.endpointShellAssumption_iff_eventually: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.endpoint_epsilon_estimate: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.endpoint_fixedPoint_expectation_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.endpoint_fixedPoint_expectation_power_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.endpoint_fixedPoint_probability_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.endpoint_integral_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.endpoint_window_le_row_of_size_condition: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ennreal_tendsto_tail_sum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.epsilonTailExpectation_eventually_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.epsilonTailExpectation_limsup_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.epsilonTailExpectation_nonneg: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.epsilonTailExpectation_power_limsup: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.eventually_cyclic_grid_separated: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.eventually_exterior_shellNumber: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.eventually_interior_density_cutoff: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.eventually_retained_labels_cover: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.eventually_terminal_rates_of_endpoint_witness: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.excluded_short_vertices_le_high_add_interior_low: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exists_algebra_approximation_of_isInducing: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exists_algebra_approximation_on_compact_of_isInducing: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exists_algebra_uniform_approximation_comp: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exists_bounded_cycle_tail: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exists_cycle_tail_of_minimalPeriod: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exists_cyclic_test_extension: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exists_finite_oscillation_grid: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exists_prefixAgrees_next_eq: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exists_profileF_eq: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exists_profile_cell: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exists_retained_maximum_cycle_tail: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exists_unique_meanSurvivors_cutoff: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.expMeasure_Ici: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.expMeasure_Ioi: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.expMeasure_nullSingleton: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exp_neg_le_endpointQ: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exp_neg_le_quadratic: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exp_neg_mul_of_zero_one: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exp_sub_le_sub_of_nonpos: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialGapMass_eq_measure: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialGapMass_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialGapMass_nonneg: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialGapMass_taylor: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialPDFReal_eq_piecewise: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_all_survive: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_background: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_block_capacity: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_collision_zero: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_disintegrate: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_endpoint_integrals: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_endpoint_integrals_power: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_eval: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_event_disintegrate: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_first_choice: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_first_clock_probability: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_identityNormalizedGaps: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_identityNormalizedGaps_integral: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_identity_order_probability: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_independent: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_injective_ae: [propext, Classical.choice, Quot.sound]
